Source:,E:/PROJECT WORKING/18. KICARD/LED MAU MATOME/PCB_LED_MAU_MATOME.sch,,,,,
Date:,2018/01/23 02:07,,,,,
Tool:,Eeschema 4.0.7,,,,,
Generator:,C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,5,,,,,
,,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,D1,LED,device:LED,LEDs:LED_D5.0mm,
,,D2,LED,device:LED,LEDs:LED_D5.0mm,
,,D3,LED,device:LED,LEDs:LED_D5.0mm,
,,D4,LED,device:LED,LEDs:LED_D5.0mm,
,,J1,Conn_01x06,conn:Conn_01x06,Connectors_JST:JST_XH_B06B-XH-A_06x2.50mm_Straight,
,,,,,,
,,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,4,"D1, D2, D3, D4",LED,device:LED,LEDs:LED_D5.0mm,
2,1,J1,Conn_01x06,conn:Conn_01x06,Connectors_JST:JST_XH_B06B-XH-A_06x2.50mm_Straight,
